model_type,surp
shuffled,11.655683636665344
ordered,11.609917879104614
shuffled,6.488755226135254
ordered,6.410534858703613
shuffled,3.4276106357574463
ordered,6.731062650680542
shuffled,6.102862477302551
ordered,2.7253748178482056
shuffled,4.532445788383484
ordered,8.19489860534668
shuffled,6.772056579589844
ordered,5.954097390174866
shuffled,6.489888072013855
ordered,6.658616304397583
shuffled,3.428898811340332
ordered,7.354530453681946
shuffled,6.095463275909424
ordered,2.8193607330322266
shuffled,4.535257339477539
ordered,7.9873998165130615
shuffled,6.7729092836380005
ordered,5.955742359161377
shuffled,9.482267618179321
ordered,8.508966088294983
shuffled,10.471253156661987
ordered,11.033854961395264
shuffled,10.316239476203918
ordered,6.470095992088318
shuffled,5.3993600606918335
ordered,4.478273868560791
shuffled,11.897012710571289
ordered,8.188445210456848
shuffled,9.483563661575317
ordered,8.242367625236511
shuffled,10.502217650413513
ordered,10.960800647735596
shuffled,10.315910458564758
ordered,6.445473313331604
shuffled,5.386871576309204
ordered,4.250907897949219
shuffled,11.894352555274963
ordered,8.095999360084534
shuffled,11.113627552986145
ordered,7.549852252006531
shuffled,8.442039966583252
ordered,11.370087146759033
shuffled,7.58389687538147
ordered,8.13815450668335
shuffled,8.095402359962463
ordered,8.145045518875122
shuffled,10.831753611564636
ordered,8.44316565990448
shuffled,11.109636783599854
ordered,7.407096266746521
shuffled,8.457011222839355
ordered,12.508008122444153
shuffled,7.558105826377869
ordered,8.732612609863281
shuffled,8.123991012573242
ordered,8.163358688354492
shuffled,10.832068800926208
ordered,8.328845739364624
shuffled,10.019033432006836
ordered,9.90084457397461
shuffled,9.55836796760559
ordered,11.008626818656921
shuffled,9.074294328689575
ordered,7.643444538116455
shuffled,9.737087488174438
ordered,6.2895283699035645
shuffled,9.828981399536133
ordered,6.43532919883728
shuffled,10.023003816604614
ordered,9.15561556816101
shuffled,9.564035773277283
ordered,11.046670198440552
shuffled,9.066713571548462
ordered,7.254228353500366
shuffled,9.747696876525879
ordered,5.958327293395996
shuffled,9.825807571411133
ordered,6.53442907333374
shuffled,11.778019428253174
ordered,8.633186221122742
shuffled,8.585929989814758
ordered,9.446591138839722
shuffled,9.3644357919693
ordered,8.132142424583435
shuffled,10.456544399261475
ordered,8.368138909339905
shuffled,8.012409210205078
ordered,8.924251556396484
shuffled,11.74292677640915
ordered,8.171922326087952
shuffled,8.591816306114197
ordered,9.084985613822937
shuffled,9.333438634872437
ordered,8.142746567726135
shuffled,10.461730003356934
ordered,8.596080422401428
shuffled,7.995184421539307
ordered,8.680979013442993
shuffled,6.153887510299683
ordered,5.3580814599990845
shuffled,7.48200249671936
ordered,4.4009387493133545
shuffled,6.089528679847717
ordered,6.901813387870789
shuffled,5.1606457233428955
ordered,6.69732940196991
shuffled,4.3290276527404785
ordered,6.89846658706665
shuffled,6.16750693321228
ordered,5.235117316246033
shuffled,7.48104465007782
ordered,4.387280821800232
shuffled,6.086841702461243
ordered,6.6397634744644165
shuffled,5.148884892463684
ordered,6.350153207778931
shuffled,4.3222975730896
ordered,6.420205473899841
shuffled,8.413385510444641
ordered,6.809628844261169
shuffled,9.287439584732056
ordered,7.629473686218262
shuffled,7.936561703681946
ordered,12.248901844024658
shuffled,6.76389217376709
ordered,9.330302834510803
shuffled,9.799649238586426
ordered,10.65248966217041
shuffled,8.427833199501038
ordered,6.564296007156372
shuffled,9.300445556640625
ordered,8.147239685058594
shuffled,7.935985326766968
ordered,12.277085304260254
shuffled,6.779271245002747
ordered,9.35049057006836
shuffled,9.806068897247314
ordered,10.649406790733337
shuffled,9.714657664299011
ordered,8.58722710609436
shuffled,9.340145587921143
ordered,9.610572099685669
shuffled,13.959226846694946
ordered,8.178006947040558
shuffled,8.435702562332153
ordered,6.223450541496277
shuffled,7.528778314590454
ordered,3.920862078666687
shuffled,9.74065089225769
ordered,7.7836960554122925
shuffled,9.366598010063171
ordered,9.63890016078949
shuffled,13.950856804847717
ordered,8.65124887228012
shuffled,8.43544328212738
ordered,5.812487006187439
shuffled,7.51191520690918
ordered,3.8942017555236816
shuffled,8.468516409397125
ordered,8.10021460056305
shuffled,8.584781765937805
ordered,7.335782885551453
shuffled,12.65813684463501
ordered,6.790656685829163
shuffled,8.209101796150208
ordered,8.565640568733215
shuffled,7.528400182723999
ordered,6.467130661010742
shuffled,8.45682817697525
ordered,8.013634085655212
shuffled,8.59724247455597
ordered,7.7123764753341675
shuffled,12.647399067878723
ordered,6.918132305145264
shuffled,8.203098177909851
ordered,8.60772454738617
shuffled,7.525757193565369
ordered,6.307908773422241
shuffled,7.431391596794128
ordered,4.524333238601685
shuffled,5.872393250465393
ordered,5.464036703109741
shuffled,7.633929491043091
ordered,5.427246928215027
shuffled,6.463217854499817
ordered,6.6575199365615845
shuffled,5.958714962005615
ordered,7.435370683670044
shuffled,7.4280922412872314
ordered,4.490904808044434
shuffled,5.895933389663696
ordered,5.5804853439331055
shuffled,7.615547299385071
